Files opened for reading during the run and their roles:

reader                                                                        | file                                                             | role
======================================================================================================================================================
/mnt/cpr/examples/02-blazegraph-examples/06-hello-python/workspace/./hello.py | ./hello.py                                                       | sw
/mnt/cpr/examples/02-blazegraph-examples/06-hello-python/workspace/./hello.py | /etc/ld.so.cache                                                 | os
/mnt/cpr/examples/02-blazegraph-examples/06-hello-python/workspace/./hello.py | /etc/localtime                                                   | os
/mnt/cpr/examples/02-blazegraph-examples/06-hello-python/workspace/./hello.py | /lib/x86_64-linux-gnu/libc.so.6                                  | os
/mnt/cpr/examples/02-blazegraph-examples/06-hello-python/workspace/./hello.py | /lib/x86_64-linux-gnu/libdl.so.2                                 | os
/mnt/cpr/examples/02-blazegraph-examples/06-hello-python/workspace/./hello.py | /lib/x86_64-linux-gnu/libm.so.6                                  | os
/mnt/cpr/examples/02-blazegraph-examples/06-hello-python/workspace/./hello.py | /lib/x86_64-linux-gnu/libpthread.so.0                            | os
/mnt/cpr/examples/02-blazegraph-examples/06-hello-python/workspace/./hello.py | /lib/x86_64-linux-gnu/libutil.so.1                               | os
/mnt/cpr/examples/02-blazegraph-examples/06-hello-python/workspace/./hello.py | /usr/bin/env                                                     | sw
/mnt/cpr/examples/02-blazegraph-examples/06-hello-python/workspace/./hello.py | /usr/bin/python3                                                 | sw
/mnt/cpr/examples/02-blazegraph-examples/06-hello-python/workspace/./hello.py | /usr/bin/python3.8                                               | sw
/mnt/cpr/examples/02-blazegraph-examples/06-hello-python/workspace/./hello.py | /usr/lib/locale/C.UTF-8/LC_CTYPE                                 | os
/mnt/cpr/examples/02-blazegraph-examples/06-hello-python/workspace/./hello.py | /usr/lib/python3.8/__pycache__/_collections_abc.cpython-38.pyc   | sw
/mnt/cpr/examples/02-blazegraph-examples/06-hello-python/workspace/./hello.py | /usr/lib/python3.8/__pycache__/_sitebuiltins.cpython-38.pyc      | sw
/mnt/cpr/examples/02-blazegraph-examples/06-hello-python/workspace/./hello.py | /usr/lib/python3.8/__pycache__/abc.cpython-38.pyc                | sw
/mnt/cpr/examples/02-blazegraph-examples/06-hello-python/workspace/./hello.py | /usr/lib/python3.8/__pycache__/codecs.cpython-38.pyc             | sw
/mnt/cpr/examples/02-blazegraph-examples/06-hello-python/workspace/./hello.py | /usr/lib/python3.8/__pycache__/genericpath.cpython-38.pyc        | sw
/mnt/cpr/examples/02-blazegraph-examples/06-hello-python/workspace/./hello.py | /usr/lib/python3.8/__pycache__/io.cpython-38.pyc                 | sw
/mnt/cpr/examples/02-blazegraph-examples/06-hello-python/workspace/./hello.py | /usr/lib/python3.8/__pycache__/os.cpython-38.pyc                 | sw
/mnt/cpr/examples/02-blazegraph-examples/06-hello-python/workspace/./hello.py | /usr/lib/python3.8/__pycache__/posixpath.cpython-38.pyc          | sw
/mnt/cpr/examples/02-blazegraph-examples/06-hello-python/workspace/./hello.py | /usr/lib/python3.8/__pycache__/site.cpython-38.pyc               | sw
/mnt/cpr/examples/02-blazegraph-examples/06-hello-python/workspace/./hello.py | /usr/lib/python3.8/__pycache__/sitecustomize.cpython-38.pyc      | sw
/mnt/cpr/examples/02-blazegraph-examples/06-hello-python/workspace/./hello.py | /usr/lib/python3.8/__pycache__/stat.cpython-38.pyc               | sw
/mnt/cpr/examples/02-blazegraph-examples/06-hello-python/workspace/./hello.py | /usr/lib/python3.8/encodings/__pycache__/__init__.cpython-38.pyc | sw
/mnt/cpr/examples/02-blazegraph-examples/06-hello-python/workspace/./hello.py | /usr/lib/python3.8/encodings/__pycache__/aliases.cpython-38.pyc  | sw
/mnt/cpr/examples/02-blazegraph-examples/06-hello-python/workspace/./hello.py | /usr/lib/python3.8/encodings/__pycache__/latin_1.cpython-38.pyc  | sw
/mnt/cpr/examples/02-blazegraph-examples/06-hello-python/workspace/./hello.py | /usr/lib/python3.8/encodings/__pycache__/utf_8.cpython-38.pyc    | sw
/mnt/cpr/examples/02-blazegraph-examples/06-hello-python/workspace/./hello.py | /usr/lib/x86_64-linux-gnu/gconv/gconv-modules.cache              | os
/mnt/cpr/examples/02-blazegraph-examples/06-hello-python/workspace/./hello.py | /usr/lib/x86_64-linux-gnu/ld-2.31.so                             | os
/usr/bin/python3                                                              | ./hello.py                                                       | sw
/usr/bin/python3                                                              | /etc/ld.so.cache                                                 | os
/usr/bin/python3                                                              | /etc/localtime                                                   | os
/usr/bin/python3                                                              | /lib/x86_64-linux-gnu/libc.so.6                                  | os
/usr/bin/python3                                                              | /lib/x86_64-linux-gnu/libdl.so.2                                 | os
/usr/bin/python3                                                              | /lib/x86_64-linux-gnu/libm.so.6                                  | os
/usr/bin/python3                                                              | /lib/x86_64-linux-gnu/libpthread.so.0                            | os
/usr/bin/python3                                                              | /lib/x86_64-linux-gnu/libutil.so.1                               | os
/usr/bin/python3                                                              | /usr/bin/env                                                     | sw
/usr/bin/python3                                                              | /usr/bin/python3                                                 | sw
/usr/bin/python3                                                              | /usr/bin/python3.8                                               | sw
/usr/bin/python3                                                              | /usr/lib/locale/C.UTF-8/LC_CTYPE                                 | os
/usr/bin/python3                                                              | /usr/lib/python3.8/__pycache__/_collections_abc.cpython-38.pyc   | sw
/usr/bin/python3                                                              | /usr/lib/python3.8/__pycache__/_sitebuiltins.cpython-38.pyc      | sw
/usr/bin/python3                                                              | /usr/lib/python3.8/__pycache__/abc.cpython-38.pyc                | sw
/usr/bin/python3                                                              | /usr/lib/python3.8/__pycache__/codecs.cpython-38.pyc             | sw
/usr/bin/python3                                                              | /usr/lib/python3.8/__pycache__/genericpath.cpython-38.pyc        | sw
/usr/bin/python3                                                              | /usr/lib/python3.8/__pycache__/io.cpython-38.pyc                 | sw
/usr/bin/python3                                                              | /usr/lib/python3.8/__pycache__/os.cpython-38.pyc                 | sw
/usr/bin/python3                                                              | /usr/lib/python3.8/__pycache__/posixpath.cpython-38.pyc          | sw
/usr/bin/python3                                                              | /usr/lib/python3.8/__pycache__/site.cpython-38.pyc               | sw
/usr/bin/python3                                                              | /usr/lib/python3.8/__pycache__/sitecustomize.cpython-38.pyc      | sw
/usr/bin/python3                                                              | /usr/lib/python3.8/__pycache__/stat.cpython-38.pyc               | sw
/usr/bin/python3                                                              | /usr/lib/python3.8/encodings/__pycache__/__init__.cpython-38.pyc | sw
/usr/bin/python3                                                              | /usr/lib/python3.8/encodings/__pycache__/aliases.cpython-38.pyc  | sw
/usr/bin/python3                                                              | /usr/lib/python3.8/encodings/__pycache__/latin_1.cpython-38.pyc  | sw
/usr/bin/python3                                                              | /usr/lib/python3.8/encodings/__pycache__/utf_8.cpython-38.pyc    | sw
/usr/bin/python3                                                              | /usr/lib/x86_64-linux-gnu/gconv/gconv-modules.cache              | os
/usr/bin/python3                                                              | /usr/lib/x86_64-linux-gnu/ld-2.31.so                             | os
