Files opened for reading during the run and their roles:

reader       | file                                                                                  | role
===========================================================================================================
/usr/bin/cat | /etc/ld.so.cache                                                                      | os
/usr/bin/cat | /lib/x86_64-linux-gnu/libc.so.6                                                       | os
/usr/bin/cat | /mnt/cpr/examples/02-blazegraph-examples/08-branched-pipeline/workspace/inputs/i1.txt | in
/usr/bin/cat | /mnt/cpr/examples/02-blazegraph-examples/08-branched-pipeline/workspace/inputs/i2.txt | in
/usr/bin/cat | /mnt/cpr/examples/02-blazegraph-examples/08-branched-pipeline/workspace/inputs/i3.txt | in
/usr/bin/cat | /mnt/cpr/examples/02-blazegraph-examples/08-branched-pipeline/workspace/inputs/i4.txt | in
/usr/bin/cat | /mnt/cpr/examples/02-blazegraph-examples/08-branched-pipeline/workspace/temp/t12.txt  | tmp
/usr/bin/cat | /mnt/cpr/examples/02-blazegraph-examples/08-branched-pipeline/workspace/temp/t123.txt | tmp
/usr/bin/cat | /mnt/cpr/examples/02-blazegraph-examples/08-branched-pipeline/workspace/temp/t4.txt   | tmp
/usr/bin/cat | /usr/lib/x86_64-linux-gnu/ld-2.31.so                                                  | os
